1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 7, 6, 5, 5, 6, 7, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 6, 5, 5, 5, 5, 6, 0, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 5, 5, 5, 5, 5, 5, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 5, 5, 5, 5, 5, 5, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 6, 5, 5, 5, 5, 6, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 7, 6, 5, 5, 6, 7, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1

